2
234
00,0,20
02,125,00
03,100,05
15,0,15
28,50,30
30,70,50
01,100,32
30,248,62
01,130,47
01,100,25
40,170,50
52,0,09
07,0,07
27,0,25
01,0,17
20,0,24
30,134,30
00,80,20
01,0,10
93,150,36
87,100,38
90,200,89
90,202,87
01,150,34
07,90,18
18,0,05
50,0,37
00,0,27
12,203,39
01,0,22
50,0,10
00,0,08
10,0,20
00,0,20
32,195,25
49,0,42
00,0,32
01,0,16
00,0,29
01,60,61
05,67,59
00,0,20
12,0,13
68,126,11
01,92,08
01,95,08
01,0,20
02,75,24
25,47,64
36,208,56
90,80,79
11,0,10
02,67,21
01,0,19
30,102,15
39,167,28
19,67,61
33,178,21
53,125,56
01,0,13
01,103,19
02,153,27
01,0,57
95,108,78
40,150,45
88,275,29
37,0,49
02,42,21
30,117,17
36,165,20
00,0,02
90,247,42
03,0,42
30,220,52
03,75,21
22,0,39
41,110,31
30,170,61
00,0,54
80,65,33
100,55,47
100,31,70
100,58,72
100,55,86
100,45,69
100,80,84
90,0,50
12,0,62
12,30,19
01,110,29
23,167,67
01,0,21
50,65,80
00,0,20
10,92,60
42,202,30
20,0,20
22,134,32
25,204,28
50,87,62
13,0,24
01,0,25
25,194,29
00,0,26
20,136,41
35,0,35
100,90,62
90,0,37
10,96,25
00,92,54
01,50,32
02,224,45
30,143,32
01,125,20
01,67,21
08,0,33
33,157,52
25,205,27
12,72,58
00,0,38
76,70,80
12,31,30
00,0,45
40,185,89
01,117,89
15,31,79
01,130,93
01,83,41
01,67,45
01,75,31
36,222,50
32,232,79
30,150,47
27,0,20
60,230,65
12,0,70
75,174,67
80,115,70
90,275,76
00,195,70
32,215,87
68,100,67
75,145,79
30,145,27
35,270,73
20,110,50
33,195,72
33,220,64
33,55,55
50,140,67
28,179,41
50,250,55
37,0,40
07,0,32
06,0,50
80,231,19
60,141,60
33,170,80
60,333,80
50,320,70
01,0,40
33,242,42
15,0,12
50,16,20
00,0,18
20,0,20
01,133,42
01,92,38
15,158,27
01,185,27
33,101,34
60,253,55
60,0,50
01,118,18
05,117,11
00,0,10
03,0,20
20,77,15
00,25,11
02,50,25
00,0,50
35,209,67
90,75,78
100,211,67
90,80,55
01,150,45
00,0,12
03,183,72
01,92,46
20,203,69
00,52,59
00,117,32
22,228,60
00,77,67
01,0,47
12,80,47
93,161,52
100,128,72
100,129,91
100,132,72
50,0,42
00,254,67
01,139,72
00,131,42
90,100,77
01,102,33
15,238,70
00,50,85
01,102,30
00,50,37
00,75,27
01,182,59
00,0,72
00,0,80
01,225,74
01,150,84
00,0,80
02,0,68
45,267,89
01,92,61
33,209,51
00,0,55
01,242,72
00,0,39
18,70,62
01,92,41
01,92,62
05,93,59
00,0,52
02,295,43
00,0,32
00,0,40
01,129,54
00,0,49
