10
0.120000,0.080000,0.100000,0.540000,0.120000,0.100000
0.190000,0.120000,0.000000,0.490000,0.160000,0.170000
0.000000,0.100000,0.050000,0.740000,0.120000,0.060000
0.050000,0.050000,0.060000,0.780000,0.070000,0.110000
0.110000,0.100000,0.060000,0.730000,0.370000,0.150000
0.170000,0.100000,0.050000,0.350000,0.040000,0.120000
0.000000,0.050000,0.000000,0.720000,0.100000,0.050000
0.000000,0.000000,0.060000,0.700000,0.120000,0.060000
0.000000,0.000000,0.050000,0.720000,0.080000,0.030000
0.070000,0.050000,0.000000,0.810000,0.110000,0.060000
