4
194
05,02,67,0,56
0,0,0,0,20
12,12,0,0,20
68,32,31,95,06
1,02,92,0,05
1,02,95,0,08
1,0,0,0,48
02,0,75,0,60
25,30,0,47,50
36,45,42,166,47
90,80,0,80,11
11,15,0,0,27
02,05,67,0,19
1,05,0,0,32
30,32,42,60,25
39,42,42,125,32
19,50,0,67,42
33,37,27,151,0
53,72,90,35,0
1,02,0,0,0
1,03,103,0,19
02,02,153,0,22
1,04,0,0,37
95,32,0,108,11
40,35,20,130,15
88,56,0,275,08
37,21,0,0,08
02,05,42,0,19
30,32,92,25,68
36,39,53,112,29
0,13,0,0,12
90,60,67,180,97
03,10,0,0,9
30,40,30,190,21
03,0,75,0,52
22,26,0,0,28
41,50,60,50,32
30,54,0,170,30
0,0,0,0,90
80,67,0,65,0
100,80,0,55,0
100,86,0,31,0
100,92,0,58,0
100,100,0,55,0
100,92,0,45,0
100,84,0,80,0
90,78,0,0,0
12,15,0,0,40
12,20,30,0,73
1,0,110,0,92
23,26,42,125,77
1,06,0,0,77
50,52,65,0,39
0,0,0,0,80
10,15,50,42,77
42,33,42,160,41
20,03,0,0,37
22,10,134,0,63
25,30,67,137,66
50,55,62,25,43
13,20,0,0,39
1,9,0,0,78
25,29,60,134,72
0,0,0,0,72
20,20,75,61,76
35,25,0,0,59
100,70,0,90,0
90,80,0,0,0
10,11,96,0,75
00,0,92,0,91
1,02,50,0,109
02,02,224,0,70
30,0,143,0,70
1,0,125,0,60
1,0,67,0,73
08,0,0,0,99
33,30,67,90,74
25,29,30,175,40
12,05,72,0,72
0,12,0,0,21
76,70,0,70,13
12,10,0,31,50
0,04,0,0,94
40,43,0,185,53
1,07,117,0,40
15,13,0,31,100
1,0,130,0,78
1,0,83,0,96
1,0,67,0,79
1,0,75,0,49
36,36,67,155,41
32,35,0,232,49
30,32,0,150,57
27,11,0,0,1
60,60,0,230,0
12,26,0,0,05
75,50,0,174,0
80,75,0,115,0
90,85,0,275,05
0,17,195,0,0
32,50,85,130,0
68,46,0,100,0
75,54,15,130,0
30,25,0,145,41
35,40,0,270,47
20,20,0,110,28
33,37,0,195,24
33,30,0,220,24
33,40,55,0,1
50,70,0,140,0
28,28,16,163,19
50,50,25,225,29
37,30,0,0,06
07,0,0,0,73
06,0,0,0,39
80,30,67,164,150
60,55,0,141,0
33,33,25,145,30
60,65,0,333,07
50,60,0,320,31
1,0,0,0,15
33,33,42,200,19
15,0,0,0,9
50,30,0,16,23
0,10,0,0,40
20,0,0,0,59
1,0,133,0,46
1,0,92,0,80
15,11,137,0,54
1,0,185,0,30
33,25,70,31,37
60,60,0,253,21
60,45,0,0,50
1,22,43,75,52
05,0,117,0,35
0,0,0,0,26
03,10,0,0,22
20,20,50,27,17
0,0,25,0,54
02,0,50,0,21
0,0,0,0,86
35,35,42,167,50
90,78,0,75,0
100,89,0,211,0
90,77,50,30,0
1,0,150,0,48
0,0,0,0,81
03,11,183,0,70
1,0,92,0,95
20,29,42,161,68
0,20,52,0,0
0,17,117,0,44
22,35,13,215,21
0,0,77,0,38
1,0,0,0,56
12,07,80,0,46
93,77,0,161,0
100,92,0,128,0
100,82,0,129,0
100,64,0,132,0
50,30,0,0,0
0,30,12,242,66
1,0,89,0,65
0,0,131,0,70
90,80,0,100,0
1,0,102,0,74
15,35,60,178,58
0,0,50,0,129
1,30,52,50,45
0,26,50,0,50
0,0,0,75,29
1,37,70,112,23
0,15,0,0,40
0,10,0,0,33
1,28,25,200,51
1,10,150,0,0
0,05,0,0,79
02,0,0,0,26
45,40,117,150,11
1,0,92,0,54
33,25,67,142,37
0,0,0,0,72
1,25,42,200,39
0,0,0,0,06
18,23,0,70,26
1,0,92,0,34
1,0,92,0,73
05,0,93,0,46
0,0,0,0,60
02,22,75,220,60
0,0,0,0,21
0,0,0,0,68
1,0,129,0,46
0,0,0,0,67
