6
10
5.000000,10.000000,5.000000,72.000000,10.000000,7.000000,39.000000
7.000000,10.000000,0.000000,39.000000,8.000000,52.000000,6.000000
10.000000,12.000000,3.000000,62.000000,12.000000,5.000000,26.000000
10.000000,10.000000,8.000000,41.000000,10.000000,18.000000,34.000000
12.000000,4.000000,0.000000,62.000000,20.000000,2.000000,73.000000
15.000000,6.000000,5.000000,59.000000,8.000000,2.000000,46.000000
11.000000,12.000000,0.000000,52.000000,18.000000,6.000000,60.000000
7.000000,5.000000,7.000000,43.000000,10.000000,07.000000,60.000000
2.000000,6.000000,0.000000,32.000000,0.000000,22.000000,21.000000
0.000000,17.000000,0.000000,40.000000,7.000000,33.000000,68.000000
