5
234
0,2,0,0,10,20
2,1,125,0,15,0
3,3,100,0,10,5
15,5,0,0,5,15
28,0,50,0,35,30
30,30,0,70,20,50
1,5,100,0,23,32
30,37,97,151,7,62
1,5,130,0,4,47
1,0,100,0,12,25
40,40,30,140,21,50
52,40,0,0,11,9
7,2,0,0,2,7
27,9,0,0,20,25
1,0,0,0,10,17
20,6,0,0,17,24
30,35,0,134,19,30
0,30,0,80,22,20
1,3,0,0,27,10
93,90,25,125,30,36
87,88,0,100,0,38
90,100,0,200,70,89
90,100,42,160,94,87
1,3,150,0,15,34
7,0,90,0,37,18
18,2,0,0,20,5
50,40,0,0,0,37
0,2,0,0,37,27
12,30,79,124,25,39
1,0,0,0,22,22
50,30,0,0,0,10
0,2,0,0,6,8
10,9,0,0,40,20
0,0,0,0,0,20
32,35,42,153,8,25
49,52,0,0,19,42
0,20,0,0,6,32
1,0,0,0,0,16
0,1,0,0,11,29
1,3,60,0,63,61
5,2,67,0,56,59
0,0,0,0,20,20
12,12,0,0,20,13
68,32,31,95,6,11
1,2,92,0,5,8
1,2,95,0,8,8
1,0,0,0,48,20
2,0,75,0,60,24
25,30,0,47,50,64
36,45,42,166,47,56
90,80,0,80,11,79
11,15,0,0,27,10
2,5,67,0,19,21
1,5,0,0,32,19
30,32,42,60,25,15
39,42,42,125,32,28
19,50,0,67,42,61
33,37,27,151,0,21
53,72,90,35,0,56
1,2,0,0,0,13
1,3,103,0,19,19
2,2,153,0,22,27
1,4,0,0,37,57
95,32,0,108,11,78
40,35,20,130,15,45
88,56,0,275,8,29
37,21,0,0,8,49
2,5,42,0,19,21
30,32,92,25,68,17
36,39,53,112,29,20
0,13,0,0,12,2
90,60,67,180,97,42
3,10,0,0,9,42
30,40,30,190,21,52
3,0,75,0,52,21
22,26,0,0,28,39
41,50,60,50,32,31
30,54,0,170,30,61
0,0,0,0,90,54
80,67,0,65,0,33
100,80,0,55,0,47
100,86,0,31,0,70
100,92,0,58,0,72
100,100,0,55,0,86
100,92,0,45,0,69
100,84,0,80,0,84
90,78,0,0,0,50
12,15,0,0,40,62
12,20,30,0,73,19
1,0,110,0,92,29
23,26,42,125,77,67
1,6,0,0,77,21
50,52,65,0,39,80
0,0,0,0,80,20
10,15,50,42,77,60
42,33,42,160,41,30
20,3,0,0,37,20
22,10,134,0,63,32
25,30,67,137,66,28
50,55,62,25,43,62
13,20,0,0,39,24
1,9,0,0,78,25
25,29,60,134,72,29
0,0,0,0,72,26
20,20,75,61,76,41
35,25,0,0,59,35
100,70,0,90,0,62
90,80,0,0,0,37
10,11,96,0,75,25
0,0,92,0,91,54
1,2,50,0,109,32
2,2,224,0,70,45
30,0,143,0,70,32
1,0,125,0,60,20
1,0,67,0,73,21
8,0,0,0,99,33
33,30,67,90,74,52
25,29,30,175,40,27
12,5,72,0,72,58
0,12,0,0,21,38
76,70,0,70,13,80
12,10,0,31,50,30
0,4,0,0,94,45
40,43,0,185,53,89
1,7,117,0,40,89
15,13,0,31,100,79
1,0,130,0,78,93
1,0,83,0,96,41
1,0,67,0,79,45
1,0,75,0,49,31
36,36,67,155,41,50
32,35,0,232,49,79
30,32,0,150,57,47
27,11,0,0,1,20
60,60,0,230,0,65
12,26,0,0,5,70
75,50,0,174,0,67
80,75,0,115,0,70
90,85,0,275,5,76
0,17,195,0,0,70
32,50,85,130,0,87
68,46,0,100,0,67
75,54,15,130,0,79
30,25,0,145,41,27
35,40,0,270,47,73
20,20,0,110,28,50
33,37,0,195,24,72
33,30,0,220,24,64
33,40,55,0,1,55
50,70,0,140,0,67
28,28,16,163,19,41
50,50,25,225,29,55
37,30,0,0,6,40
7,0,0,0,73,32
6,0,0,0,39,50
80,30,67,164,150,19
60,55,0,141,0,60
33,33,25,145,30,80
60,65,0,333,7,80
50,60,0,320,31,70
1,0,0,0,15,40
33,33,42,200,19,42
15,0,0,0,9,12
50,30,0,16,23,20
0,10,0,0,40,18
20,0,0,0,59,20
1,0,133,0,46,42
1,0,92,0,80,38
15,11,137,0,54,27
1,0,185,0,30,27
33,25,70,31,37,34
60,60,0,253,21,55
60,45,0,0,50,50
1,22,43,75,52,18
5,0,117,0,35,11
0,0,0,0,26,10
3,10,0,0,22,20
20,20,50,27,17,15
0,0,25,0,54,11
2,0,50,0,21,25
0,0,0,0,86,50
35,35,42,167,50,67
90,78,0,75,0,78
100,89,0,211,0,67
90,77,50,30,0,55
1,0,150,0,48,45
0,0,0,0,81,12
3,11,183,0,70,72
1,0,92,0,95,46
20,29,42,161,68,69
0,20,52,0,0,59
0,17,117,0,44,32
22,35,13,215,21,60
0,0,77,0,38,67
1,0,0,0,56,47
12,7,80,0,46,47
93,77,0,161,0,52
100,92,0,128,0,72
100,82,0,129,0,91
100,64,0,132,0,72
50,30,0,0,0,42
0,30,12,242,66,67
1,0,89,0,65,72
0,0,131,0,70,42
90,80,0,100,0,77
1,0,102,0,74,33
15,35,60,178,58,70
0,0,50,0,129,85
1,30,52,50,45,30
0,26,50,0,50,37
0,0,0,75,29,27
1,37,70,112,23,59
0,15,0,0,40,72
0,10,0,0,33,80
1,28,25,200,51,74
1,10,150,0,0,84
0,5,0,0,79,80
2,0,0,0,26,68
45,40,117,150,11,89
1,0,92,0,54,61
33,25,67,142,37,51
0,0,0,0,72,55
1,25,42,200,39,72
0,0,0,0,6,39
18,23,0,70,26,62
1,0,92,0,34,41
1,0,92,0,73,62
5,0,93,0,46,59
0,0,0,0,60,52
2,22,75,220,60,43
0,0,0,0,21,32
0,0,0,0,68,40
1,0,129,0,46,54
0,0,0,0,67,49
