35
9
100,0,0,0,0,5,2,67,0,56
100,0,0,0,0,0,0,0,0,20
100,0,0,0,0,12,12,0,0,20
100,0,0,0,0,68,32,31,95,6
100,0,0,0,0,1,2,92,0,5
100,0,0,0,0,1,2,95,0,8
100,0,0,0,0,1,0,0,0,48
100,0,100,0,0,2,0,75,0,60
100,0,0,0,0,25,30,0,47,50
100,0,100,0,0,36,45,42,166,47
0,0,0,0,0,90,80,0,80,11
100,0,100,0,0,11,15,0,0,27
100,0,0,0,0,2,5,67,0,19
100,0,0,0,0,1,5,0,0,32
100,0,0,0,0,30,32,42,60,25
100,0,100,0,0,39,42,42,125,32
100,0,0,0,0,19,50,0,67,42
100,0,0,0,0,33,37,27,151,0
0,0,0,0,0,53,72,90,35,0
100,0,100,0,0,1,2,0,0,0
100,50,0,0,0,1,3,103,0,19
100,50,0,0,0,2,2,153,0,22
100,100,0,0,0,1,4,0,0,37
100,100,0,0,0,95,32,0,108,11
100,100,0,0,0,40,35,20,130,15
0,100,0,0,0,88,56,0,275,8
0,100,0,0,0,37,21,0,0,8
100,100,0,0,0,2,5,42,0,19
100,0,0,0,0,30,32,92,25,68
100,0,0,0,0,36,39,53,112,29
100,0,0,0,0,0,13,0,0,12
0,0,200,0,0,90,60,67,180,97
100,0,0,0,0,3,10,0,0,9
100,0,0,0,0,30,40,30,190,21
100,50,0,0,0,3,0,75,0,52
100,0,0,200,0,22,26,0,0,28
100,0,0,100,0,41,50,60,50,32
100,0,0,0,0,30,54,0,170,30
0,0,0,100,0,0,0,0,0,90
0,0,0,0,0,80,67,0,65,0
0,0,0,0,0,100,80,0,55,0
0,0,0,0,0,100,86,0,31,0
100,0,0,0,0,100,92,0,58,0
0,0,0,0,0,100,100,0,55,0
0,20,0,0,0,100,92,0,45,0
0,0,0,0,0,100,84,0,80,0
0,100,0,0,0,90,78,0,0,0
100,100,0,0,0,12,15,0,0,40
100,100,0,0,0,12,20,30,0,73
100,100,0,0,0,1,0,110,0,92
100,100,0,0,0,23,26,42,125,77
100,100,0,0,0,1,6,0,0,77
0,0,0,0,0,50,52,65,0,39
100,0,0,0,0,0,0,0,0,80
100,0,0,0,0,10,15,50,42,77
0,0,0,0,0,42,33,42,160,41
0,0,0,0,0,20,3,0,0,37
100,0,0,0,0,22,10,134,0,63
100,0,0,0,0,25,30,67,137,66
0,0,0,0,0,50,55,62,25,43
100,0,0,0,0,13,20,0,0,39
100,0,0,0,0,1,9,0,0,78
