6
10
0.050000,0.100000,0.050000,0.720000,0.100000,0.070000,0.390000
0.070000,0.100000,0.000000,0.390000,0.080000,0.520000,0.060000
0.100000,0.120000,0.030000,0.620000,0.120000,0.050000,0.260000
0.100000,0.100000,0.080000,0.410000,0.100000,0.180000,0.340000
0.120000,0.040000,0.000000,0.620000,0.200000,0.020000,0.730000
0.150000,0.060000,0.050000,0.590000,0.080000,0.020000,0.460000
0.110000,0.120000,0.000000,0.520000,0.180000,0.060000,0.600000
0.070000,0.050000,0.070000,0.430000,0.100000,0.070000,0.600000
0.020000,0.060000,0.000000,0.320000,0.000000,0.220000,0.210000
0.000000,.0170000,0.000000,0.400000,0.070000,.0330000,0.680000
