3
194
100,0,67,59
100,0,0,20
100,0,0,13
100,0,126,11
100,0,92,08
100,0,95,08
100,0,0,20
100,0,75,24
100,0,47,64
100,0,208,56
0,0,80,79
100,0,0,10
100,0,67,21
100,0,0,19
100,0,102,15
100,0,167,28
100,0,67,61
100,0,178,21
0,0,125,56
100,0,0,13
100,50,103,19
100,50,153,27
100,100,0,57
100,100,108,78
100,100,150,45
0,100,275,29
0,100,0,49
100,100,42,21
100,0,117,17
100,0,165,20
100,0,0,02
0,0,247,42
100,0,0,42
100,0,220,52
100,50,75,21
100,0,0,39
100,0,110,31
100,0,170,61
0,0,0,54
0,0,65,33
0,0,55,47
0,0,31,70
100,0,58,72
0,0,55,86
0,20,45,69
0,0,80,84
0,100,0,50
100,100,0,62
100,100,30,19
100,100,110,29
100,100,167,67
100,100,0,21
0,0,65,80
100,0,0,20
100,0,92,60
0,0,202,30
0,0,0,20
100,0,134,32
100,0,204,28
0,0,87,62
100,0,0,24
100,0,0,25
100,0,194,29
100,0,0,26
100,20,136,41
100,50,0,35
0,50,90,62
0,50,0,37
100,50,96,25
100,0,92,54
100,0,50,32
100,0,224,45
100,50,143,32
100,100,125,20
100,100,67,21
100,100,0,33
100,100,157,52
100,100,205,27
100,100,72,58
100,0,0,38
0,0,70,80
100,0,31,30
100,0,0,45
100,0,185,89
100,0,117,89
100,0,31,79
100,0,130,93
0,0,83,41
100,0,67,45
100,0,75,31
100,0,222,50
0,0,232,79
0,0,150,47
100,50,0,20
0,0,230,65
0,100,0,70
0,100,174,67
0,100,115,70
0,100,275,76
100,100,195,70
100,100,215,87
0,0,100,67
0,0,145,79
0,0,145,27
100,0,270,73
100,0,110,50
0,0,195,72
0,0,220,64
100,0,55,55
0,0,140,67
0,0,179,41
0,0,250,55
0,0,0,40
100,0,0,32
100,0,0,50
0,0,231,19
0,0,141,60
100,0,170,80
0,100,333,80
0,100,320,70
0,100,0,40
100,100,242,42
0,100,0,12
0,0,16,20
100,0,0,18
100,0,0,20
100,0,133,42
100,0,92,38
100,0,158,27
100,0,185,27
0,0,101,34
0,0,253,55
0,0,0,50
100,0,118,18
100,0,117,11
0,50,0,10
100,0,0,20
0,0,77,15
100,0,25,11
100,0,50,25
100,0,0,50
0,0,209,67
0,100,75,78
0,100,211,67
0,100,80,55
100,100,150,45
0,100,0,12
100,0,183,72
100,0,92,46
0,0,203,69
0,0,52,59
0,0,117,32
0,0,228,60
100,0,77,67
0,0,0,47
0,0,80,47
0,0,161,52
0,0,128,72
0,0,129,91
0,0,132,72
0,0,0,42
0,0,254,67
100,0,139,72
100,0,131,42
0,0,100,77
100,0,102,33
50,100,238,70
0,100,50,85
0,100,102,30
0,100,50,37
100,100,75,27
100,100,182,59
100,0,0,72
100,0,0,80
0,0,225,74
0,0,150,84
100,0,0,80
100,0,0,68
100,0,267,89
0,0,92,61
100,0,209,51
0,0,0,55
0,20,242,72
100,50,0,39
0,0,70,62
100,0,92,41
0,0,92,62
100,20,93,59
100,0,0,52
100,100,295,43
100,100,0,32
100,100,0,40
100,100,129,54
100,100,0,49
