4
194
0.05	0.02	67	0	0.56
0.00	0.00	0	0	0.20
0.12	0.12	0	0	0.20
0.68	0.32	31	95	0.06
0.01	0.02	92	0	0.05
0.01	0.02	95	0	0.08
0.01	0.00	0	0	0.48
0.02	0.00	75	0	0.60
0.25	0.30	0	47	0.50
0.36	0.45	42	166	0.47
0.90	0.80	0	80	0.11
0.11	0.15	0	0	0.27
0.02	0.05	67	0	0.19
0.01	0.05	0	0	0.32
0.30	0.32	42	60	0.25
0.39	0.42	42	125	0.32
0.19	0.50	0	67	0.42
0.33	0.37	27	151	0.00
0.53	0.72	90	35	0.00
0.01	0.02	0	0	0.00
0.01	0.03	103	0	0.19
0.02	0.02	153	0	0.22
0.01	0.04	0	0	0.37
0.95	0.32	0	108	0.11
0.40	0.35	20	130	0.15
0.88	0.56	0	275	0.08
0.37	0.21	0	0	0.08
0.02	0.05	42	0	0.19
0.30	0.32	92	25	0.68
0.36	0.39	53	112	0.29
0.00	0.13	0	0	0.12
0.90	0.60	67	180	0.97
0.03	0.10	0	0	0.09
0.30	0.40	30	190	0.21
0.03	0.00	75	0	0.52
0.22	0.26	0	0	0.28
0.41	0.50	60	50	0.32
0.30	0.54	0	170	0.30
0.00	0.00	0	0	0.90
0.80	0.67	0	65	0.00
1.00	0.80	0	55	0.00
1.00	0.86	0	31	0.00
1.00	0.92	0	58	0.00
1.00	1.00	0	55	0.00
1.00	0.92	0	45	0.00
1.00	0.84	0	80	0.00
0.90	0.78	0	0	0.00
0.12	0.15	0	0	0.40
0.12	0.20	30	0	0.73
0.01	0.00	110	0	0.92
0.23	0.26	42	125	0.77
0.01	0.06	0	0	0.77
0.50	0.52	65	0	0.39
0.00	0.00	0	0	0.80
0.10	0.15	50	42	0.77
0.42	0.33	42	160	0.41
0.20	0.03	0	0	0.37
0.22	0.10	134	0	0.63
0.25	0.30	67	137	0.66
0.50	0.55	62	25	0.43
0.13	0.20	0	0	0.39
0.01	0.09	0	0	0.78
0.25	0.29	60	134	0.72
0.00	0.00	0	0	0.72
0.20	0.20	75	61	0.76
0.35	0.25	0	0	0.59
1.00	0.70	0	90	0.00
